target_id,target,sport,work_package,status,evidence,source,source_date,capabilities_validated,backend_tests,frontend_tests,device_tests,blocker_or_notes
espn:australian-football:afl,AFL,australian-football,W3-new-sports,limited,docs/sports-coverage/evidence/australian-football--afl.json,https://site.api.espn.com/apis/site/v2/sports/australian-football/afl/scoreboard,2026-09-24T21:02:08.776067+00:00,schedule,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:baseball:caribbean-series,Caribbean Series,baseball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/baseball--caribbean-series.json,https://site.api.espn.com/apis/site/v2/sports/baseball/caribbean-series/scoreboard,2026-09-24T21:02:08.776205+00:00,schedule;final-result,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant sample verified; live transitions and season completeness unverified.
espn:baseball:college-baseball,NCAA Baseball,baseball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/baseball--college-baseball.json,https://site.api.espn.com/apis/site/v2/sports/baseball/college-baseball/scoreboard,2026-09-24T21:02:08.776334+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:baseball:college-softball,NCAA Softball,baseball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/baseball--college-softball.json,https://site.api.espn.com/apis/site/v2/sports/baseball/college-softball/scoreboard,2026-09-24T21:02:08.776457+00:00,schedule;final-result,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant sample verified; live transitions and season completeness unverified.
espn:baseball:dominican-winter-league,Dominican Winter League,baseball,W2-team-and-soccer,candidate,docs/sports-coverage/evidence/baseball--dominican-winter-league.json,https://site.api.espn.com/apis/site/v2/sports/baseball/dominican-winter-league/scoreboard,2026-09-24T21:02:09.753771+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2014-01-29T22:35Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:baseball:llb,Little League Baseball,baseball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/baseball--llb.json,https://site.api.espn.com/apis/site/v2/sports/baseball/llb/scoreboard,2026-09-24T21:02:09.754014+00:00,schedule;final-result,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:baseball:lls,Little League Softball,baseball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/baseball--lls.json,https://site.api.espn.com/apis/site/v2/sports/baseball/lls/scoreboard,2026-09-24T21:02:09.779678+00:00,schedule;final-result,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:baseball:mexican-winter-league,Mexican League,baseball,W2-team-and-soccer,candidate,docs/sports-coverage/evidence/baseball--mexican-winter-league.json,https://site.api.espn.com/apis/site/v2/sports/baseball/mexican-winter-league/scoreboard,2026-09-24T21:02:09.832833+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2014-01-30T01:30Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:baseball:olympics-baseball,Olympics Men's Baseball,baseball,W2-team-and-soccer,archival,docs/sports-coverage/evidence/baseball--olympics-baseball.json,https://site.api.espn.com/apis/site/v2/sports/baseball/olympics-baseball/scoreboard,2026-09-24T21:02:10.668974+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"LA28 official program includes baseball, basketball, golf, rugby sevens and football in the 2028 summer edition. Existing provider samples are historical editions, not retired sports. Historical fixture retained; excluded from live refresh until a future edition is independently validated."
espn:baseball:puerto-rican-winter-league,Puerto Rican Winter League,baseball,W2-team-and-soccer,candidate,docs/sports-coverage/evidence/baseball--puerto-rican-winter-league.json,https://site.api.espn.com/apis/site/v2/sports/baseball/puerto-rican-winter-league/scoreboard,2026-09-24T21:02:10.750479+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2014-01-28T22:15Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:baseball:venezuelan-winter-league,Venezuelan Winter League,baseball,W2-team-and-soccer,candidate,docs/sports-coverage/evidence/baseball--venezuelan-winter-league.json,https://site.api.espn.com/apis/site/v2/sports/baseball/venezuelan-winter-league/scoreboard,2026-09-24T21:02:10.825208+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2014-01-31T00:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:baseball:world-baseball-classic,World Baseball Classic,baseball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/baseball--world-baseball-classic.json,https://site.api.espn.com/apis/site/v2/sports/baseball/world-baseball-classic/scoreboard,2026-09-24T21:02:10.901622+00:00,schedule;final-result,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant sample verified; live transitions and season completeness unverified.
