target_id,target,sport,work_package,status,evidence,source,source_date,capabilities_validated,backend_tests,frontend_tests,device_tests,blocker_or_notes
espn:australian-football:afl,AFL,australian-football,W3-new-sports,candidate,sample-returned,https://site.api.espn.com/apis/site/v2/sports/australian-football/afl/scoreboard,2026-09-26T04:30Z,,not-run,not-run,not-run,
espn:baseball:caribbean-series,Caribbean Series,baseball,W2-team-and-soccer,candidate,sample-returned,https://site.api.espn.com/apis/site/v2/sports/baseball/caribbean-series/scoreboard,2026-02-08T01:00Z,,not-run,not-run,not-run,
espn:baseball:college-baseball,NCAA Baseball,baseball,W2-team-and-soccer,candidate,sample-returned,https://site.api.espn.com/apis/site/v2/sports/baseball/college-baseball/scoreboard,2026-06-22T23:00Z,,not-run,not-run,not-run,
espn:baseball:college-softball,NCAA Softball,baseball,W2-team-and-soccer,candidate,sample-returned,https://site.api.espn.com/apis/site/v2/sports/baseball/college-softball/scoreboard,2026-06-05T00:00Z,,not-run,not-run,not-run,
espn:baseball:dominican-winter-league,Dominican Winter League,baseball,W2-team-and-soccer,candidate,directory-only,https://site.api.espn.com/apis/site/v2/sports/baseball/dominican-winter-league/scoreboard,,,not-run,not-run,not-run,
espn:baseball:llb,Little League Baseball,baseball,W2-team-and-soccer,candidate,sample-returned,https://site.api.espn.com/apis/site/v2/sports/baseball/llb/scoreboard,2026-08-30T14:00Z,,not-run,not-run,not-run,
espn:baseball:lls,Little League Softball,baseball,W2-team-and-soccer,candidate,sample-returned,https://site.api.espn.com/apis/site/v2/sports/baseball/lls/scoreboard,2026-08-09T14:00Z,,not-run,not-run,not-run,
espn:baseball:mexican-winter-league,Mexican League,baseball,W2-team-and-soccer,candidate,directory-only,https://site.api.espn.com/apis/site/v2/sports/baseball/mexican-winter-league/scoreboard,,,not-run,not-run,not-run,
espn:baseball:olympics-baseball,Olympics Men's Baseball,baseball,W2-team-and-soccer,candidate,directory-only,https://site.api.espn.com/apis/site/v2/sports/baseball/olympics-baseball/scoreboard,,,not-run,not-run,not-run,
espn:baseball:puerto-rican-winter-league,Puerto Rican Winter League,baseball,W2-team-and-soccer,candidate,directory-only,https://site.api.espn.com/apis/site/v2/sports/baseball/puerto-rican-winter-league/scoreboard,,,not-run,not-run,not-run,
espn:baseball:venezuelan-winter-league,Venezuelan Winter League,baseball,W2-team-and-soccer,candidate,directory-only,https://site.api.espn.com/apis/site/v2/sports/baseball/venezuelan-winter-league/scoreboard,,,not-run,not-run,not-run,
espn:baseball:world-baseball-classic,World Baseball Classic,baseball,W2-team-and-soccer,candidate,sample-returned,https://site.api.espn.com/apis/site/v2/sports/baseball/world-baseball-classic/scoreboard,2026-03-18T00:00Z,,not-run,not-run,not-run,
espn:basketball:fiba,FIBA World Cup,basketball,W2-team-and-soccer,candidate,sample-returned,https://site.api.espn.com/apis/site/v2/sports/basketball/fiba/scoreboard,2026-09-13T14:30Z,,not-run,not-run,not-run,Verify competition/season/gender from event metadata; directory label alone is insufficient
espn:basketball:mens-olympics-basketball,Olympics Men's Basketball,basketball,W2-team-and-soccer,candidate,sample-returned,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-olympics-basketball/scoreboard,2024-08-10T09:00Z,,not-run,not-run,not-run,Returned event predates 2026; validate current coverage or legitimate tournament cycle
espn:basketball:nba-development,NBA G League,basketball,W2-team-and-soccer,candidate,sample-returned,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-development/scoreboard,2026-11-07T00:00Z,,not-run,not-run,not-run,
espn:basketball:nba-summer-california,NBA California Classic Summer League,basketball,W2-team-and-soccer,candidate,directory-only,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-california/scoreboard,,,not-run,not-run,not-run,
espn:basketball:nba-summer-golden-state,Golden State Summer League,basketball,W2-team-and-soccer,candidate,directory-only,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-golden-state/scoreboard,,,not-run,not-run,not-run,
